Id,src,suser,target,msg,TrendMicroDsTenant,TrendMicroDsTenantId
76,172.20.0.10,System,172.19.0.34,The policy (fingerprint 5E:9E:0E:A8:19:AB:C1:0D:3E:F1:B9:9E:E4:BF:55:A2:EB:1D:CB:60) was successfully sent to the agent.,Primary,0
77,172.20.0.10,System,172.19.0.33,The policy (fingerprint 70:2D:54:85:B4:12:15:7D:03:28:EE:38:30:1A:FE:EA:10:59:A7:2B) was successfully sent to the agent.,Primary,0
78,172.20.0.10,System,192.168.80.2,The policy (fingerprint 02:7D:A0:9B:C7:58:5A:43:7E:E8:6C:E9:35:AE:69:1B:36:D3:2F:35) was successfully sent to the agent.,Primary,0
79,172.20.0.10,System,192.168.90.12,The policy (fingerprint 2C:D7:EC:25:C4:37:19:45:D2:EA:F1:25:96:EA:C4:98:72:56:6F:4E) was successfully sent to the agent.,Primary,0
80,172.20.0.10,System,172.19.0.32,The policy (fingerprint 83:F2:13:BF:7E:12:07:C6:ED:FA:D0:B7:08:06:3D:E2:53:49:2C:59) was successfully sent to the agent.,Primary,0
81,172.20.0.10,System,172.19.0.37,The policy (fingerprint 3E:FE:B9:FE:10:4A:3A:22:61:B6:5B:23:A2:B4:94:EC:3D:CC:FC:01) was successfully sent to the agent.,Primary,0
82,172.20.0.10,System,172.19.0.39,The policy (fingerprint 61:D1:D2:C9:9B:B3:4F:50:3C:DA:8F:E5:99:F5:A5:29:4B:02:7F:18) was successfully sent to the agent.,Primary,0
83,172.20.0.10,System,172.19.0.38,The policy (fingerprint ED:00:62:9F:B5:95:87:E4:AF:7F:73:42:03:B1:D9:03:35:65:A6:48) was successfully sent to the agent.,Primary,0
84,172.20.0.10,System,172.19.0.35,The policy (fingerprint DD:EC:8D:26:9D:5F:8B:9A:99:A4:BB:FC:95:7D:5F:9F:B3:41:5C:6A) was successfully sent to the agent.,Primary,0
85,172.20.0.10,System,172.19.0.34,Smart Protection Server Connected for Smart Scan,Primary,0
86,172.20.0.10,System,172.19.0.34,Description Omitted,Primary,0
87,172.20.0.10,System,172.19.0.36,Smart Protection Server Connected for Smart Scan,Primary,0
88,172.20.0.10,System,172.19.0.36,Description Omitted,Primary,0
89,172.20.0.10,System,172.19.0.32,Smart Protection Server Connected for Smart Scan,Primary,0
90,172.20.0.10,System,172.19.0.32,Description Omitted,Primary,0
91,172.20.0.10,System,172.19.0.35,Smart Protection Server Connected for Smart Scan,Primary,0
92,172.20.0.10,System,172.19.0.35,Description Omitted,Primary,0
93,172.20.0.10,System,192.168.10.220,The policy (fingerprint 38:88:6F:9D:3E:53:1B:58:86:D1:55:31:8E:7C:DB:EE:9D:3D:D6:C0) was successfully sent to the agent.,Primary,0
94,172.20.0.10,System,192.168.90.10,Smart Protection Server Connected for Smart Scan,Primary,0
95,172.20.0.10,System,192.168.90.10,Description Omitted,Primary,0
96,172.20.0.10,System,172.19.0.39,Smart Protection Server Connected for Smart Scan,Primary,0
97,172.20.0.10,System,172.19.0.39,Description Omitted,Primary,0
98,172.20.0.10,System,192.168.90.11,Smart Protection Server Connected for Smart Scan,Primary,0
99,172.20.0.10,System,192.168.90.11,Description Omitted,Primary,0
100,172.20.0.10,System,172.19.0.37,Smart Protection Server Connected for Smart Scan,Primary,0
101,172.20.0.10,System,172.19.0.37,Description Omitted,Primary,0
102,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
103,172.20.0.10,System,192.168.90.12,Smart Protection Server Connected for Smart Scan,Primary,0
104,172.20.0.10,System,192.168.90.12,Description Omitted,Primary,0
105,172.20.0.10,System,172.19.0.38,Smart Protection Server Connected for Smart Scan,Primary,0
106,172.20.0.10,System,172.19.0.38,Description Omitted,Primary,0
107,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
108,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
109,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
110,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
111,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
112,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
113,172.20.0.10,System,172.19.0.33,Smart Protection Server Connected for Smart Scan,Primary,0
114,172.20.0.10,System,172.19.0.33,Description Omitted,Primary,0
115,172.20.0.10,System,192.168.10.220,Smart Protection Server Connected for Smart Scan,Primary,0
116,172.20.0.10,System,192.168.10.220,Description Omitted,Primary,0
117,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
118,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
119,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
120,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
121,172.20.0.10,MasterAdmin,New Syslog Configuration,Description Omitted,Primary,0
122,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
123,172.20.0.10,System,172.19.0.33,The policy (fingerprint E9:99:E7:47:AC:85:F6:15:A9:F0:15:8A:4C:60:B3:1B:9B:B0:98:58) was successfully sent to the agent.,Primary,0
124,172.20.0.10,System,172.20.0.30 (FS),Description Omitted,Primary,0
125,172.20.0.10,System,172.20.0.30 (FS),The policy (fingerprint A5:B5:48:87:33:C1:1F:BE:D4:0B:9B:52:11:30:22:6C:7B:FF:C5:97) was successfully sent to the agent.,Primary,0
126,172.20.0.10,System,192.168.90.12,The policy (fingerprint 3A:03:2F:D0:92:74:B8:3C:57:FE:80:EB:C2:90:12:2A:4B:B6:A2:03) was successfully sent to the agent.,Primary,0
127,172.20.0.10,System,192.168.90.10,The policy (fingerprint 4E:57:1E:DA:E9:9A:4D:DD:97:11:10:39:F3:8B:0A:31:43:33:0B:92) was successfully sent to the agent.,Primary,0
128,172.20.0.10,System,172.20.0.20 (AD),Description Omitted,Primary,0
129,172.20.0.10,System,172.20.0.20 (AD),The policy (fingerprint EC:56:93:01:04:8E:79:61:80:36:AC:96:AA:5A:6A:5B:E3:03:64:0D) was successfully sent to the agent.,Primary,0
130,172.20.0.10,System,192.168.90.11,The policy (fingerprint 9C:B2:E7:0D:68:2A:B0:0A:5A:F1:DA:95:C9:ED:0D:43:0F:59:7D:75) was successfully sent to the agent.,Primary,0
131,172.20.0.10,System,172.19.0.36,The policy (fingerprint 9D:27:03:CF:AF:D0:4D:56:07:93:B1:1F:6D:7C:77:C9:99:5C:1B:D9) was successfully sent to the agent.,Primary,0
132,172.20.0.10,System,172.19.0.34,Description Omitted,Primary,0
133,172.20.0.10,System,172.19.0.34,The policy (fingerprint 21:EC:0F:97:A7:A6:43:A0:B0:FC:98:05:76:2D:3B:81:16:EC:CA:8A) was successfully sent to the agent.,Primary,0
134,172.20.0.10,System,172.19.0.38,The policy (fingerprint 26:5C:34:89:F8:10:18:2A:BB:08:9B:96:AB:B5:13:2E:B5:F2:80:54) was successfully sent to the agent.,Primary,0
135,172.20.0.10,System,172.19.0.37,The policy (fingerprint A4:CC:83:08:C9:04:05:33:18:6F:7D:66:31:08:B3:71:73:0F:D8:BF) was successfully sent to the agent.,Primary,0
136,172.20.0.10,System,172.19.0.32,The policy (fingerprint 67:78:29:22:28:D8:A2:FF:C6:D3:BE:68:A1:EC:76:0C:22:14:51:29) was successfully sent to the agent.,Primary,0
137,172.20.0.10,System,192.168.80.2,Description Omitted,Primary,0
138,172.20.0.10,System,192.168.80.2,The policy (fingerprint EC:FB:3F:F2:72:74:FB:0F:48:1B:FA:99:12:00:81:38:67:41:8F:48) was successfully sent to the agent.,Primary,0
139,172.20.0.10,System,172.19.0.35,The policy (fingerprint B0:09:F2:7B:25:93:83:D5:20:E9:52:F9:F6:C4:B6:AF:B8:10:2F:FC) was successfully sent to the agent.,Primary,0
140,172.20.0.10,System,172.19.0.33,Smart Protection Server Connected for Smart Scan,Primary,0
141,172.20.0.10,System,172.19.0.33,Description Omitted,Primary,0
142,172.20.0.10,System,172.19.0.39,The policy (fingerprint BA:E1:F4:E5:40:D1:B8:8D:B3:37:76:30:0F:AD:69:C1:B1:82:29:2D) was successfully sent to the agent.,Primary,0
143,172.20.0.10,System,172.19.0.38,Smart Protection Server Connected for Smart Scan,Primary,0
144,172.20.0.10,System,172.19.0.38,Description Omitted,Primary,0
145,172.20.0.10,System,192.168.90.12,Smart Protection Server Connected for Smart Scan,Primary,0
146,172.20.0.10,System,192.168.90.12,Description Omitted,Primary,0
147,172.20.0.10,System,172.19.0.32,Smart Protection Server Connected for Smart Scan,Primary,0
148,172.20.0.10,System,172.19.0.32,Description Omitted,Primary,0
149,172.20.0.10,System,172.19.0.37,Smart Protection Server Connected for Smart Scan,Primary,0
150,172.20.0.10,System,172.19.0.37,Description Omitted,Primary,0
151,172.20.0.10,System,192.168.90.10,Smart Protection Server Connected for Smart Scan,Primary,0
152,172.20.0.10,System,192.168.90.10,Description Omitted,Primary,0
153,172.20.0.10,System,172.19.0.34,Smart Protection Server Connected for Smart Scan,Primary,0
154,172.20.0.10,System,172.19.0.34,Description Omitted,Primary,0
155,172.20.0.10,System,172.19.0.36,Smart Protection Server Connected for Smart Scan,Primary,0
156,172.20.0.10,System,172.19.0.36,Description Omitted,Primary,0
157,172.20.0.10,System,192.168.80.2,Smart Protection Server Connected for Smart Scan,Primary,0
158,172.20.0.10,System,192.168.80.2,Description Omitted,Primary,0
159,172.20.0.10,System,172.19.0.35,Smart Protection Server Connected for Smart Scan,Primary,0
160,172.20.0.10,System,172.19.0.35,Description Omitted,Primary,0
161,172.20.0.10,System,192.168.10.220,Description Omitted,Primary,0
162,172.20.0.10,System,192.168.10.220,The policy (fingerprint 3C:27:0A:EB:DD:04:D0:49:C7:13:C3:CE:B4:BC:75:53:F2:ED:D0:57) was successfully sent to the agent.,Primary,0
163,172.20.0.10,System,172.19.0.39,Smart Protection Server Connected for Smart Scan,Primary,0
164,172.20.0.10,System,172.19.0.39,Description Omitted,Primary,0
165,172.20.0.10,System,192.168.90.11,Smart Protection Server Connected for Smart Scan,Primary,0
166,172.20.0.10,System,192.168.90.11,Description Omitted,Primary,0
167,172.20.0.10,System,192.168.10.220,Smart Protection Server Connected for Smart Scan,Primary,0
168,172.20.0.10,System,192.168.10.220,Description Omitted,Primary,0
169,172.20.0.10,System,172.20.0.30 (FS),Description Omitted,Primary,0
170,172.20.0.10,System,172.20.0.20 (AD),Description Omitted,Primary,0
171,172.20.0.10,System,172.19.0.32,Description Omitted,Primary,0
172,172.20.0.10,System,172.19.0.34,Description Omitted,Primary,0
173,172.20.0.10,System,172.19.0.35,Description Omitted,Primary,0
174,172.20.0.10,System,172.19.0.37,Description Omitted,Primary,0
175,172.20.0.10,System,192.168.90.10,Description Omitted,Primary,0
176,172.20.0.10,System,172.19.0.38,Description Omitted,Primary,0
177,172.20.0.10,System,192.168.90.12,Description Omitted,Primary,0
178,172.20.0.10,System,192.168.90.11,Smart Protection Server Connected for Smart Scan,Primary,0
179,172.20.0.10,System,192.168.90.11,Smart Protection Server Connected for Smart Scan,Primary,0
180,172.20.0.10,System,192.168.90.11,Smart Protection Server Connected for Smart Scan,Primary,0
181,172.20.0.10,System,192.168.90.11,Smart Protection Server Connected for Smart Scan,Primary,0
182,172.20.0.10,System,192.168.90.11,Smart Protection Server Connected for Smart Scan,Primary,0
183,172.20.0.10,System,192.168.90.11,Smart Protection Server Connected for Smart Scan,Primary,0
184,172.20.0.10,System,,Alert: Memory Warning Threshold Exceeded\nSubject: 172.20.0.10\nSeverity: Warning,Primary,0
185,172.20.0.10,System,,Alert Emails have been sent to the following Users: \nMasterAdmin\nsaeed (Saeed)\nmali\ntm@candyland1.com (System)\n,Primary,0
186,172.20.0.10,System,,Alert: Memory Critical Threshold Exceeded\nSubject: 172.20.0.10\nSeverity: Critical,Primary,0
187,172.20.0.10,System,,Alert Emails have been sent to the following Users: \nMasterAdmin\nsaeed (Saeed)\nmali\ntm@candyland1.com (System)\n,Primary,0
188,172.20.0.10,System,172.20.0.30 (FS),"Disconnected from Smart Protection Server for Smart Scan. This could be due to a configuration issue, or due to network connectivity.",Primary,0
189,172.20.0.10,System,172.20.0.30 (FS),Alert: Smart Protection Server Connection Failed\nSeverity: Warning,Primary,0
190,172.20.0.10,System,,Alert Emails have been sent to the following Users: \nMasterAdmin\nsaeed (Saeed)\nmali\ntm@candyland1.com (System)\n,Primary,0
191,172.20.0.10,System,,Unable to reach the SMTP computer: mail.candyland1.com.,Primary,0
192,172.20.0.10,System,172.20.0.30 (FS),Smart Protection Server Connected for Smart Scan,Primary,0
193,172.20.0.10,System,172.20.0.30 (FS),Alert: Smart Protection Server Connection Failed\nSeverity: Warning,Primary,0
194,172.20.0.10,System,,Alert Emails have been sent to the following Users: \nMasterAdmin\nsaeed (Saeed)\nmali\ntm@candyland1.com (System)\n,Primary,0
195,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
196,172.20.0.10,System,,Alert: Memory Warning Threshold Exceeded\nSubject: 172.20.0.10\nSeverity: Warning,Primary,0
197,172.20.0.10,System,,Alert Emails have been sent to the following Users: \nMasterAdmin\nsaeed (Saeed)\nmali\ntm@candyland1.com (System)\n,Primary,0
198,172.20.0.10,System,,Alert: Memory Critical Threshold Exceeded\nSubject: 172.20.0.10\nSeverity: Critical,Primary,0
199,172.20.0.10,System,,Alert Emails have been sent to the following Users: \nMasterAdmin\nsaeed (Saeed)\nmali\ntm@candyland1.com (System)\n,Primary,0
200,172.20.0.10,System,192.168.90.12,"Deep Security Manager has been unable to communicate with the Agent/Appliance since August 4, 2021 18:05:04. The Agent/Appliance is presumed to be offline.",Primary,0
201,172.20.0.10,System,192.168.90.12,Alert: Unable to communicate\nSeverity: Critical,Primary,0
202,172.20.0.10,System,,Alert Emails have been sent to the following Users: \nMasterAdmin\nsaeed (Saeed)\nmali\ntm@candyland1.com (System)\n,Primary,0
203,172.20.0.10,System,,Alert: Memory Warning Threshold Exceeded\nSubject: 172.20.0.10\nSeverity: Warning,Primary,0
204,172.20.0.10,System,,Alert Emails have been sent to the following Users: \nMasterAdmin\nsaeed (Saeed)\nmali\ntm@candyland1.com (System)\n,Primary,0
205,172.20.0.10,System,,Alert: Memory Critical Threshold Exceeded\nSubject: 172.20.0.10\nSeverity: Critical,Primary,0
206,172.20.0.10,System,,Alert Emails have been sent to the following Users: \nMasterAdmin\nsaeed (Saeed)\nmali\ntm@candyland1.com (System)\n,Primary,0
207,172.20.0.10,System,192.168.90.10,"Deep Security Manager has been unable to communicate with the Agent/Appliance since August 4, 2021 18:06:24. The Agent/Appliance is presumed to be offline.",Primary,0
208,172.20.0.10,System,192.168.90.10,Alert: Unable to communicate\nSeverity: Critical,Primary,0
209,172.20.0.10,System,,Alert Emails have been sent to the following Users: \nMasterAdmin\nsaeed (Saeed)\nmali\ntm@candyland1.com (System)\n,Primary,0
210,172.20.0.10,System,192.168.80.2,"Deep Security Manager has been unable to communicate with the Agent/Appliance since August 4, 2021 18:09:15. The Agent/Appliance is presumed to be offline.",Primary,0
211,172.20.0.10,System,192.168.80.2,Alert: Unable to communicate\nSeverity: Critical,Primary,0
212,172.20.0.10,System,,Alert Emails have been sent to the following Users: \nMasterAdmin\nsaeed (Saeed)\nmali\ntm@candyland1.com (System)\n,Primary,0
213,172.20.0.10,System,192.168.90.11,"Deep Security Manager has been unable to communicate with the Agent/Appliance since August 4, 2021 18:13:23. The Agent/Appliance is presumed to be offline.",Primary,0
214,172.20.0.10,System,192.168.90.11,Alert: Unable to communicate\nSeverity: Critical,Primary,0
215,172.20.0.10,System,,Alert Emails have been sent to the following Users: \nMasterAdmin\nsaeed (Saeed)\nmali\ntm@candyland1.com (System)\n,Primary,0
216,172.20.0.10,System,172.19.0.37,Description Omitted,Primary,0
217,172.20.0.10,System,172.19.0.37,Smart Protection Server Connected for Smart Scan,Primary,0
218,172.20.0.10,System,172.19.0.37,Description Omitted,Primary,0
219,172.20.0.10,System,172.19.0.37,Smart Protection Server Connected for Smart Scan,Primary,0
220,172.20.0.10,System,172.19.0.37,Smart Protection Server Connected for Smart Scan,Primary,0
221,172.20.0.10,System,172.20.0.30 (FS),"Disconnected from Smart Protection Server for Smart Scan. This could be due to a configuration issue, or due to network connectivity.",Primary,0
222,172.20.0.10,System,172.20.0.30 (FS),Alert: Smart Protection Server Connection Failed\nSeverity: Warning,Primary,0
223,172.20.0.10,System,,Alert Emails have been sent to the following Users: \nMasterAdmin\nsaeed (Saeed)\nmali\ntm@candyland1.com (System)\n,Primary,0
224,172.20.0.10,System,,"A message to sukhan@ismailindustries.com with subject ""New Alert Raised: Failure to connect to a Smart Protection Server."" could not be sent due to an error: javax.mail.AuthenticationFailedException: ;\n  nested exception is:\n javax.mail.MessagingException: Exception reading response;\n  nested exception is:\n java.net.SocketTimeoutException: Read timed out. 2 more attempts will be made.",Primary,0
225,172.20.0.10,System,,"A message to mali@ismailindustries.com with subject ""New Alert Raised: Failure to connect to a Smart Protection Server."" could not be sent due to an error: javax.mail.MessagingException: Exception reading response;\n  nested exception is:\n java.net.SocketException: Connection reset. 2 more attempts will be made.",Primary,0
226,172.20.0.10,System,172.20.0.30 (FS),Smart Protection Server Connected for Smart Scan,Primary,0
227,172.20.0.10,System,172.20.0.30 (FS),Alert: Smart Protection Server Connection Failed\nSeverity: Warning,Primary,0
228,172.20.0.10,System,,Alert Emails have been sent to the following Users: \nMasterAdmin\nsaeed (Saeed)\nmali\ntm@candyland1.com (System)\n,Primary,0
229,172.20.0.10,System,172.19.0.37,Smart Protection Server Connected for Smart Scan,Primary,0
230,172.20.0.10,System,172.19.0.34,Description Omitted,Primary,0
231,172.20.0.10,System,172.19.0.34,Smart Protection Server Connected for Smart Scan,Primary,0
232,172.20.0.10,System,172.19.0.34,Description Omitted,Primary,0
233,172.20.0.10,System,172.19.0.34,Smart Protection Server Connected for Smart Scan,Primary,0
234,172.20.0.10,System,172.19.0.34,Description Omitted,Primary,0
235,172.20.0.10,System,172.19.0.34,Smart Protection Server Connected for Smart Scan,Primary,0
236,172.20.0.10,System,172.19.0.34,Description Omitted,Primary,0
237,172.20.0.10,System,172.19.0.34,Smart Protection Server Connected for Smart Scan,Primary,0
238,172.20.0.10,System,172.19.0.34,Smart Protection Server Connected for Smart Scan,Primary,0
239,172.20.0.10,System,172.20.0.30 (FS),Smart Protection Server Connected for Smart Scan,Primary,0
240,172.20.0.10,System,172.20.0.10,Smart Protection Server Connected for Smart Scan,Primary,0
241,172.20.0.10,System,192.168.10.220,Smart Protection Server Connected for Smart Scan,Primary,0
242,172.20.0.10,System,172.19.0.34,Smart Protection Server Connected for Smart Scan,Primary,0
243,172.20.0.10,System,172.20.0.30 (FS),Smart Protection Server Connected for Smart Scan,Primary,0
244,172.20.0.10,System,192.168.10.220,Smart Protection Server Connected for Smart Scan,Primary,0
245,172.20.0.10,System,172.20.0.30 (FS),Smart Protection Server Connected for Smart Scan,Primary,0
246,172.20.0.10,System,172.20.0.30 (FS),Smart Protection Server Connected for Smart Scan,Primary,0
247,172.20.0.10,System,172.20.0.30 (FS),Smart Protection Server Connected for Smart Scan,Primary,0
248,172.20.0.10,System,172.19.0.38,Smart Protection Server Connected for Smart Scan,Primary,0
249,172.20.0.10,System,172.19.0.38,Smart Protection Server Connected for Smart Scan,Primary,0
250,172.20.0.10,System,172.19.0.32,Smart Protection Server Connected for Smart Scan,Primary,0
251,172.20.0.10,MasterAdmin,MasterAdmin,User signed in from 172.16.3.5,Primary,0
252,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
253,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
254,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
255,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
256,172.20.0.10,System,172.19.0.34,Smart Protection Server Connected for Smart Scan,Primary,0
257,172.20.0.10,System,172.20.0.30 (FS),Smart Protection Server Connected for Smart Scan,Primary,0
258,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
259,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
260,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
261,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
262,172.20.0.10,System,172.20.0.30 (FS),Smart Protection Server Connected for Smart Scan,Primary,0
263,172.20.0.10,System,172.20.0.20 (AD),Smart Protection Server Connected for Smart Scan,Primary,0
264,172.20.0.10,System,172.19.0.33,Smart Protection Server Connected for Smart Scan,Primary,0
265,172.20.0.10,System,172.20.0.30 (FS),Smart Protection Server Connected for Smart Scan,Primary,0
266,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
267,172.20.0.10,System,172.20.0.30 (FS),Smart Protection Server Connected for Smart Scan,Primary,0
268,172.20.0.10,System,192.168.90.10,Description Omitted,Primary,0
269,172.20.0.10,System,192.168.90.10,Description Omitted,Primary,0
270,172.20.0.10,System,192.168.90.10,A Recommendation Scan on computer (192.168.90.10) has completed.,Primary,0
271,172.20.0.10,System,192.168.90.10,There was a failure performing an Anti-Malware Component Update.  Check the Agent/Appliance Events for the cause.,Primary,0
272,172.20.0.10,System,192.168.90.10,"Disconnected from Smart Protection Server for Smart Scan. This could be due to a configuration issue, or due to network connectivity.",Primary,0
273,172.20.0.10,System,192.168.90.10,Description Omitted,Primary,0
